entity	shape	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002232	http://purl.obolibrary.org/obo/UPHENO_0042018
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001789	http://purl.obolibrary.org/obo/UPHENO_0041127
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002358	http://purl.obolibrary.org/obo/UPHENO_0042498
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001787	http://purl.obolibrary.org/obo/UPHENO_0041909
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001499	http://purl.obolibrary.org/obo/UPHENO_0042509
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001410	http://purl.obolibrary.org/obo/UPHENO_0041141
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001495	http://purl.obolibrary.org/obo/UPHENO_0041437
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001891	http://purl.obolibrary.org/obo/UPHENO_0041342
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0040022	http://purl.obolibrary.org/obo/UPHENO_0088361
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001419	http://purl.obolibrary.org/obo/UPHENO_0042361
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000967	http://purl.obolibrary.org/obo/UPHENO_0041248
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002065	http://purl.obolibrary.org/obo/UPHENO_0042663
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001935	http://purl.obolibrary.org/obo/UPHENO_0041783
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002224	http://purl.obolibrary.org/obo/UPHENO_0042033
