defined_class	id
http://purl.obolibrary.org/obo/UPHENO_0000130	http://purl.obolibrary.org/obo/GO_0023061-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000131	http://purl.obolibrary.org/obo/GO_0006974-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000132	http://purl.obolibrary.org/obo/GO_0035177-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000133	http://purl.obolibrary.org/obo/GO_0035176-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000134	http://purl.obolibrary.org/obo/GO_0035295-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000135	http://purl.obolibrary.org/obo/GO_0050896-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000136	http://purl.obolibrary.org/obo/GO_0050890-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000137	http://purl.obolibrary.org/obo/GO_0001505-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000138	http://purl.obolibrary.org/obo/GO_0098916-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000139	http://purl.obolibrary.org/obo/GO_0050657-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000140	http://purl.obolibrary.org/obo/GO_0050658-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000141	http://purl.obolibrary.org/obo/GO_0048232-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000142	http://purl.obolibrary.org/obo/GO_0030705-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000143	http://purl.obolibrary.org/obo/GO_0048599-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000144	http://purl.obolibrary.org/obo/GO_1901564-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000145	http://purl.obolibrary.org/obo/GO_0048598-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000146	http://purl.obolibrary.org/obo/GO_1901566-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000147	http://purl.obolibrary.org/obo/BSPO_0000673-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000148	http://purl.obolibrary.org/obo/GO_0006629-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000149	http://purl.obolibrary.org/obo/BSPO_0000674-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000150	http://purl.obolibrary.org/obo/GO_0036379-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000151	http://purl.obolibrary.org/obo/BSPO_0000671-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000152	http://purl.obolibrary.org/obo/BSPO_0000672-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000153	http://purl.obolibrary.org/obo/GO_0071103-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000154	http://purl.obolibrary.org/obo/GO_0016310-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000155	http://purl.obolibrary.org/obo/BSPO_0000039-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000156	http://purl.obolibrary.org/obo/BSPO_0000037-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000157	http://purl.obolibrary.org/obo/BSPO_0000038-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000158	http://purl.obolibrary.org/obo/GO_0006996-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000159	http://purl.obolibrary.org/obo/GO_0003006-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000160	http://purl.obolibrary.org/obo/GO_0006518-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000161	http://purl.obolibrary.org/obo/BSPO_0000046-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000162	http://purl.obolibrary.org/obo/GO_0003008-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000163	http://purl.obolibrary.org/obo/BSPO_0000047-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000164	http://purl.obolibrary.org/obo/BSPO_0000044-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000165	http://purl.obolibrary.org/obo/BSPO_0000045-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000166	http://purl.obolibrary.org/obo/BSPO_0000042-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000167	http://purl.obolibrary.org/obo/BSPO_0000043-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000168	http://purl.obolibrary.org/obo/BSPO_0000041-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000169	http://purl.obolibrary.org/obo/GO_0016203-abnormal.tsv
